id,Producto,Cantidad,Precio_Unitario,Vendedor,Ciudad
903,Marlo,35.65,149.99,Marlo Swiffen,San Jose
904,Krista,34.01,3.79,Krista Toomey,Habiganj
905,Dollie,5.21,3.99,Dollie Critchlow,Maquanzhen
906,Gilda,99.4,5.99,Gilda Leabeater,Amor
907,Emilio,80.4,69.99,Emilio Escalante,Beloye
908,Katina,88.23,2.99,Katina Nurcombe,Muara
909,Gardie,72.33,24.99,Gardie Lozano,Radišići
910,Jandy,85.81,6.49,Jandy Clemoes,Hino
911,Ailey,71.56,29.99,Ailey Iacovacci,Bezerros
912,Ancell,29.29,3.29,Ancell Basilio,Shaxi
913,Adolpho,47.74,19.99,Adolpho Olijve,Cube
914,Josey,11.58,79.99,Josey Render,Yangiqo‘rg‘on
915,Sonya,11.05,4.49,Sonya Wade,Hai Riêng
916,Tobe,76.22,19.99,Tobe Yushachkov,General Belgrano
917,Mikey,60.79,1.99,Mikey Couper,Paris 07
918,Wilfrid,58.69,5.49,Wilfrid Champion,Pasirnangka
919,Lalo,86.07,199.99,Lalo Chatten,Ciputat
920,Merrick,92.66,15.99,Merrick Faber,San Juan
921,Efrem,35.16,89.99,Efrem Matzeitis,Jiangshan
922,Claudina,16.37,29.99,Claudina Jermin,Janaka
923,Alverta,77.66,4.49,Alverta Ellerker,Nanzamu
924,Quentin,45.59,199.99,Quentin Drysdell,London
925,Arney,78.16,3.49,Arney Spikings,Karinë
926,Buddy,60.12,4.99,Buddy Hearson,Claye-Souilly
927,Winnie,69.79,5.99,Winnie Perrinchief,Wangji
928,Cameron,94.55,34.99,Cameron Kleinber,Weitang
929,Angie,74.38,39.99,Angie Ambrogiotti,Jaraguá do Sul
930,Jerry,72.94,3.99,Jerry Hankinson,Euclides da Cunha
931,Hedvig,48.04,129.99,Hedvig Summerson,Miskolc
932,Brennan,54.14,19.99,Brennan Cyson,Baryshevo
933,Archer,74.14,24.99,Archer Zelner,Titao
934,Carlos,62.33,2.49,Carlos Tenman,Wuping
935,Pate,29.55,22.99,Pate Deville,Banag
936,Lissa,52.3,12.99,Lissa Bernardeschi,Al Hadā
937,Pietrek,20.75,3.99,Pietrek Jinkin,Xitieshan
938,Julienne,77.95,25.99,Julienne Algy,Bañga
939,Currey,29.62,89,Currey Fetters,Kitale
940,Papagena,66.34,29.99,Papagena Legh,Malārd
941,Oralle,14.03,8.99,Oralle Hovert,Bizerte
942,Rosetta,31.43,49.99,Rosetta McDonagh,Datun
943,Lombard,31.82,5.99,Lombard Monger,Pont-Audemer
944,Minta,21.64,22.99,Minta Nealand,Jingyu
945,Vitia,97.01,5.49,Vitia Gullan,Verkhnyachka
946,Tabitha,49.81,5.49,Tabitha Pepys,Barra dos Coqueiros
947,Marion,13.65,29.99,Marion Kuhne,Starokucherganovka
948,Mia,72.49,7.99,Mia Darington,Lipka
949,Saloma,39.31,2.49,Saloma Hugli,Mons
950,Babette,3.58,29.99,Babette Binner,Chŏngju
951,Concettina,53.07,0.99,Concettina Tranmer,Heqiao
952,Felipe,49.6,19.99,Felipe Kewley,Kuwayris Sharqī
953,Benton,23.57,4.99,Benton Cantwell,Zhanxu
954,Jonis,70.04,99.99,Jonis Fortune,Kousséri
955,Loella,47.15,49.99,Loella Filipczak,Leduc
956,Kevon,96.85,2.99,Kevon Popping,Rāmganj
957,Silvester,24.93,3.49,Silvester Smallridge,Guataquí
958,Nerty,42.95,4.29,Nerty Coper,Brataj
959,Alexi,90.88,19.99,Alexi Joliffe,Hake
960,Romy,40.32,39.99,Romy Haistwell,Yongfu
961,Renell,82.03,15.99,Renell Tomala,Kon Tum
962,Arni,78.77,19.99,Arni Pepis,Jobabo
963,Natty,23.73,129.99,Natty Burkert,Karangtengah Lor
964,Alysa,35.84,3.49,Alysa Bruneau,Mīrpur Māthelo
965,Coreen,81.91,3.99,Coreen Leipold,Florencia
966,Melisenda,26.91,99.99,Melisenda Hackly,Penha
967,Camel,43.98,4.99,Camel Lowle,Simitli
968,Baudoin,47.84,3.49,Baudoin Dundredge,Stockholm
969,Gavrielle,94.8,4.49,Gavrielle Screaton,La Unión
970,Alexio,3.39,19.99,Alexio Breeton,Golubac
971,Esteban,95.55,3.99,Esteban Lande,Evansville
972,Zak,58.47,2.49,Zak Becerra,Sawin
973,Ranna,38.96,3.49,Ranna Fossett,Guzhuyingzi
974,Claus,72.22,4.99,Claus Bartolomivis,Karangtengah
975,Laureen,72.4,19.99,Laureen Bartolomucci,Belyy Gorodok
976,Verla,18.73,3.79,Verla Velte,Staryy Oskol
977,Falito,66.14,34.99,Falito Klasen,Nikol’sk
978,Codi,48.23,5.99,Codi Stanbrooke,Shah Alam
979,Richy,17.69,39.99,Richy Wollrauch,Nanzhen
980,Terrill,34.72,6.99,Terrill Bottomer,Xijiang
981,Tiffany,59.31,6.99,Tiffany Stothert,Desa Borogojol
982,Mitch,46.13,28.99,Mitch Dalgardno,Beidaihehaibin
983,Lazaro,22.98,79.99,Lazaro Halsall,Sedayulawas
984,Vance,90.22,8.99,Vance Shadfourth,Pung-Pang
985,Yolanda,79.74,5.49,Yolanda Kaliszewski,Ala-Buka
986,Kiah,12.87,59.99,Kiah Pirkis,Kermānshāh
987,Siusan,68.6,15.99,Siusan Mc Queen,Zushi
988,Edithe,67.66,5.99,Edithe Rubinov,Regueiro
989,Nev,86.15,49.99,Nev Aliman,Amparafaravola
990,Arabella,99.71,2.99,Arabella McAline,Gabahan
991,Sybyl,39.77,3.99,Sybyl Swayte,Catac
992,My,42.86,39.99,My MacCafferty,Brdów
993,Allin,50.98,2.49,Allin Shortall,Krajan Kidul Rojopolo
994,Gene,27.91,4.29,Gene Bischoff,Vasyshcheve
995,Paddie,24.12,89.99,Paddie Bumphries,Novoselec
996,Gwenneth,12.45,39.99,Gwenneth Ghilardi,Imus
997,Elsie,2.09,22.99,Elsie Spindler,Qinhong
998,Chery,54.12,59.99,Chery Jedrys,Mababanaba
999,Dynah,33.17,8.99,Dynah Aldwinckle,Guadalupe
1000,Lucita,39.39,109.99,Lucita Yakobowitch,Chenchang
